   name,Character,r0le,TITLE,  Type,release Year,genres,imdb sc0re,imdb v0tes
Robert De Niro,Travis Bickle,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Jodie Foster,Iris Steensma,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Albert Brooks,Tom,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Harvey Keitel,Matthew 'Sport' Higgins,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Cybill Shepherd,Betsy,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Peter Boyle,Wizard,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Leonard Harris,Senator Charles Palantine,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Diahnne Abbott,Concession Girl,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Gino Ardito,Policeman at Rally,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Martin Scorsese,Passenger Watching Silhouette,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Murray Moston,Iris' Time Keeper,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Richard Higgs,Secret Service Agent,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Bill Minkin,Tom's Assistant (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Bob Maroff,Mafioso (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Victor Argo,"Melio, Delicatessen Owner",ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Joe Spinell,Personell Officer,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Robinson Frank Adu,Angry Black Man (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Brenda Dickson,Soap Opera Woman (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Norman Matlock,Charlie T,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Harry Northup,Doughboy,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Harlan Cary Poe,Campaign Worker (uncredited),ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Steven Prince,Andy - Gun Salesman,ACTOR,Taxi Driver,the movie,1976,"['drama', 'crime']",8.2,808582.0
Peter Savage,The John,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Nicholas Shields,Palantine's Aide (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Annie Gagen,Campaign Worker (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Carson Grant,Political rallier (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Mary-Pat Green,Campaign Aide (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Don Stroud,Policeman (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Copper Cunningham,Hooker in Cab,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Garth Avery,Iris' friend,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Nat Grant,Stick-aup Man,ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Billie Perkins,Iris' Friend (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Martin Scorsese,unknown,DIRECTOR,Taxi Driver,MOVIE,1976,"['drama', 'crime']",8.2,808582.0
Jon Voight,Ed Gentry,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Burt Reynolds,Lewis Medlock,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Ned Beatty,Bobby Trippe,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Ronny Cox,Drew Ballinger,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Ed Ramey,Old Man at the Gas-Station,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Billy Redden,Lonnie - The Banjo Boy,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Seamon Glass,First Griner,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Randall Deal,Second Griner,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Bill McKinney,Mountain Man,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Herbert 'Cowboy' Coward,Toothless Man,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Lewis Crone,First Deputy,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Ken Keener,Second Deputy,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Johnny Popwell,Ambulance Driver,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
John Fowler,Doctor,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Kathy Rickman,Nurse,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Louise Coldren,Mrs. Biddiford,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Pete Ware,Taxi Driver,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
James Dickey,Sheriff Bullard,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Macon McCalman,Deputy Queen,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Hoyt Pollard,Boy at Gas Station,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Belinda Beatty,Martha Gentry,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Charley Boorman,Ed's Boy,ACTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
John Boorman,unknown,DIRECTOR,Deliverance,MOVIE,1972,"['drama', 'action', 'thriller', 'european']",7.7,107673.0
Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Connie Booth,The Witch,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Carol Cleveland,Zoot / Dingo,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Bee Duffell,Old Crone,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
John Young,Dead Body / Historian Frank,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Rita Davies,Historian's Wife,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Avril Stewart,Dr. Piglet,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Sally Kinghorn,Dr. Winston,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Mark Zycon,Prisoner,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Elspeth Cameron,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Mitsuko Forstater,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Sandy Johnson,Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Sandy Rose,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Romilly Squire,Musician at Wedding / Villager at Witch Burning,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Joni Flynn,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Alison Walker,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Loraine Ward,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Anna Lanski,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Sally Coombe,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Vivienne MacDonald,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Yvonne Dick,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Daphne Darling,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Fiona Gordon,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Judy Lamb,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Tracy Sneddon,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Joyce Pollner,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Mary Allen,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Gloria Graham,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Sylvia Taylor,Girl in Castle Anthrax,ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Julian Doyle,Police Sergeant (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Margarita Doyle,Peasant (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Zack Matalon,Guard who Falls into Barrels (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Scott Mike,Bash (Mudfighter (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
William Palin,Sir Not-Appearing-in-this-Film (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Terry Jones,Themselves (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Tom Raeburn,Guard Eating Apple (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Brian Ross,Biff (Mudfighter) (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Roy Forge Smith,Inspector End of Film (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
John Thornton,Dancing Knight (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Maggie Weston,Page-turner (uncredited),ACTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Terry Jones,unknown,DIRECTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Terry Gilliam,unknown,DIRECTOR,Monty Python and the Holy Grail,MOVIE,1975,"['fantasy', 'action', 'comedy']",8.2,534486.0
Lee Marvin,Maj. John Reisman,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Ernest Borgnine,Maj. Gen. Worden,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Charles Bronson,Joseph Wladislaw,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Jim Brown,Robert Jefferson,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
John Cassavetes,Victor Franko,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Richard Jaeckel,Sergeant Bowren,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
George Kennedy,Major Max Armbruster,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Trini L??pez,Pedro Jiminez,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Ralph Meeker,Captain Stuart Kinder,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Robert Ryan,Col. Everett Dasher Breed,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Telly Savalas,Archer Maggott,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Donald Sutherland,Vernon Pinkley,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Clint Walker,Samson Posey,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Robert Webber,General Denton,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Tom Busby,Milo Vladek,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Ben Carruthers,Glenn Gilpin,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Stuart Cooper,Roscoe Lever,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Robert Phillips,Cpl. Morgan - MP Guard,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Colin Maitland,Seth Sawyer,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Al Mancini,Tassos Bravos,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
George Roubicek,Pvt. Arthur James Gardner,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Thick Wilson,Gen. Worden's Aide,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Dora Reisser,German Officer's Girl,ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Michael Anthony,German Officer in Staff Car (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Leo Britt,German General in Staff Car (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Alan Chuntz,French Servant (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Gary Files,Ambulance Driver (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Judith Furse,Drunken General's Wife (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Hal Galili,MP Master Sergeant / Hangman (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Romo Gorrara,Airborne Soldier (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Willoughby Gray,German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Gerard Heinz,Card-Playing German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
John G. Heller,2nd German Sentry at Chateau (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
George Hilsdon,Medical Officer at Hanging (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
John Hollis,German Porter at Chateau (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Alf Joint,German Sentry Wanting Light (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Juba Kennerley,German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Hildegard Knef,(uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Ann Lancaster,Prostitute (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Richard Marner,German Sentry at Chateau (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Dick Miller,MP at Hanging (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Suzanne Owens-Duval,Prostitute (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Mike Reid,Sergeant at War Games HQ (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Terry Richards,Blake (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Frederick Schiller,Drunken German General (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Richard Shaw,German Officer Who Seals the Bunker (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Warren Stanhope,German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Hedger Wallace,German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Theodore Wilhelm,German Officer (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Rocky Taylor,Airborne Soldier (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Burnell Tucker,Army Doctor (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Vicki Woolf,Prostitute (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Michael Segal,Airborne Band Conductor (uncredited),ACTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Robert Aldrich,unknown,DIRECTOR,The Dirty Dozen,MOVIE,1967,"['war', 'action']",7.7,72662.0
Graham Chapman,Various,ACTOR,Monty Python's Flying Circus,tv show,1969,"['comedy', 'european']",8.8,73424.0
Michael Palin,"Various / ""It's"" man",ACTOR,Monty Python's Flying Circus,tv show,1969,"['comedy', 'european']",8.8,73424.0
Terry Jones,Various,ACTOR,Monty Python's Flying Circus,tv show,1969,"['comedy', 'european']",8.8,73424.0
Eric Idle,Various,ACTOR,Monty Python's Flying Circus,shows,1969,"['comedy', 'european']",8.8,73424.0
Terry Gilliam,Various,ACTOR,Monty Python's Flying Circus,shows,1969,"['comedy', 'european']",8.8,73424.0
Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Terence Bayler,Gregory,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Carol Cleveland,Mrs. Gregory,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Kenneth Colley,Jesus,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Neil Innes,A Weedy Samaritan,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
John Young,"Matthias, Son of Deuteronomy of Gath",ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Gwen Taylor,Mrs. Big Nose,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Sue Jones-Davies,Judith Iscariot,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Peter Brett,unknown,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
John Case,Pilate's Wife,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Chris Langham,Alfonso / Giggling Guard,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Spike Milligan,Spike,ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
George Harrison,Mr. Papadopolous (uncredited),ACTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Terry Jones,unknown,DIRECTOR,Life of Brian,MOVIE,1979,['comedy'],8.0,395024.0
Clint Eastwood,Harry,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Harry Guardino,Bressler,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Reni Santoni,Chico,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
John Vernon,The Mayor,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Andrew Robinson,Killer,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
John Larch,Chief,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
John Mitchum,De Georgio,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Mae Mercer,Mrs. Russell,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Lyn Edgington,Norma,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Ruth Kobart,Bus Driver,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Woodrow Parfrey,Mr. Jaffe,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
Josef Sommer,Rothko,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
William Paterson,Bannerman,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
James Nolan,Liquor Proprietor,ACTOR,Dirty Harry,MOVIE,1971,"['thriller', 'action', 'crime']",7.7,155051.0
